INV_NUMBER	LINE_NUMBER	PROD_DESCRIPT	LINE_UNITS	LINE_PRICE	
1001	1	7.25-in. pwr. saw blade	1	14.99	
1001	2	Claw hammer	1	9.95	
1002	1	Rat-tail file, 1/8-in. fine	2	4.99	
1003	1	B&D cordless drill, 1/2-in.	1	38.95	
1003	2	Hrd. cloth, 1/4-in., 2x50	1	39.95	
1003	3	7.25-in. pwr. saw blade	5	14.99	
1004	1	Rat-tail file, 1/8-in. fine	3	4.99	
1004	2	Claw hammer	2	9.95	
1005	1	PVC pipe, 3.5-in., 8-ft	12	5.87	
1006	1	1.25-in. metal screw, 25	3	6.99	
1006	2	B&D jigsaw, 12-in. blade	1	109.92	
1006	3	Claw hammer	1	9.95	
1006	4	Hicut chain saw, 16 in.	1	256.99	
1007	1	7.25-in. pwr. saw blade	2	14.99	
1007	2	Rat-tail file, 1/8-in. fine	1	4.99	
1008	1	PVC pipe, 3.5-in., 8-ft	5	5.87	
1008	2	Steel matting, 4'x8'x1/6", .5" mesh	3	119.95	
1008	3	Claw hammer	1	9.95	
